119.53,0,4.04,255
171.02,17.81,2.31,255
215.03,40.41,2.04,255
236.57,77.41,6.17,255
249.53,115.63,11.72,255
253.91,155.1,18.7,255
255.,183.89,25.56,255
255.,209.13,32.37,255
